GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
weatherapp_shared,edu.westga.weatherapp_shared.enums,MeasurementUnits,34,0,0,0,4,0,1,0,1,0
weatherapp_shared,edu.westga.weatherapp_shared.model,WeatherLocation,0,160,3,23,0,32,3,18,0,8
